timestamp,tokens_prompt,tokens_completion,total_tokens,latency_ms,estimated_cost_usd,input_cost_usd,output_cost_usd,template
2026-07-29T19:19:04.306047+00:00,1484,95,1579,3606,0.00027960,0.00022260,0.00005700,main_prompt.md
2026-07-29T19:20:00.568750+00:00,1466,92,1558,4411,0.00027510,0.00021990,0.00005520,main_prompt.md
2026-07-29T19:20:21.424929+00:00,1458,54,1512,2182,0.00025110,0.00021870,0.00003240,main_prompt.md
